Book Title,Author,Subject,Recommended Year,Branch,Availability
Operating Systems,Morris Mano,Databases,3rd Year,IT,Not Available
Communication Systems,Reema Thareja,Programming,3rd Year,All,Available
Software Engineering,Galvin,Cybersecurity,3rd Year,Mechanical,Not Available
Communication Systems,Oppenheim,Mathematics,1st Year,Mechanical,Available
Artificial Intelligence,Achyut Godbole,Computer Science,3rd Year,All,Available
Control Systems,Galvin,Electronics,1st Year,All,Not Available
Compiler Design,Stuart Russell,AI/ML,2nd Year,Mechanical,Not Available
Signals and Systems,Tanenbaum,Databases,3rd Year,IT,Not Available
Big Data Analytics,Reema Thareja,Cloud,3rd Year,All,Not Available
Big Data Analytics,Nagrath & Gopal,IoT,4th Year,CSE,Not Available
Signals and Systems,Morris Mano,Computer Science,3rd Year,IT,Not Available
Communication Systems,Nagrath & Gopal,Mathematics,4th Year,Mechanical,Available
Artificial Intelligence,Aho & Ullman,Signal Processing,4th Year,CSE,Available
Signals and Systems,William Stallings,Cloud,1st Year,ECE,Available
Cloud Computing,Seema Acharya,Telecommunications,4th Year,All,Available
Cryptography,Tanenbaum,Databases,2nd Year,All,Not Available
Digital Electronics,Tom Mitchell,Web Development,3rd Year,IT,Not Available
Database Management Systems,Roger Pressman,Telecommunications,4th Year,CSE,Not Available
Cloud Computing,Ramesh Gaonkar,Cloud,1st Year,Mechanical,Not Available
Compiler Design,Seema Acharya,Signal Processing,1st Year,All,Available
Digital Electronics,Oppenheim,Cloud,2nd Year,CSE,Available
Signals and Systems,Simon Haykin,Computer Science,3rd Year,Mechanical,Available
Cloud Computing,Raj Kamal,Programming,3rd Year,Civil,Available
Computer Networks,Raj Kamal,Telecommunications,4th Year,All,Available
Communication Systems,Reema Thareja,Telecommunications,3rd Year,ECE,Available
Cryptography,Roger Pressman,Cloud,4th Year,Mechanical,Not Available
Digital Electronics,William Stallings,Mathematics,2nd Year,CSE,Available
Software Engineering,Roger Pressman,Cloud,2nd Year,All,Available
Operating Systems,Rajkumar Buyya,Electronics,3rd Year,EEE,Available
Compiler Design,Stuart Russell,Programming,3rd Year,IT,Available
Python Programming,Roger Pressman,Databases,1st Year,ECE,Available
Cloud Computing,William Stallings,Cloud,3rd Year,IT,Available
Communication Systems,Guido van Rossum,Programming,1st Year,Civil,Available
Web Technologies,Tom Mitchell,IoT,1st Year,ECE,Available
Microprocessors,Guido van Rossum,Cybersecurity,3rd Year,CSE,Available
Compiler Design,William Stallings,AI/ML,3rd Year,IT,Available
Cloud Computing,Silberschatz,Electronics,4th Year,Civil,Not Available
Embedded Systems,Morris Mano,Telecommunications,2nd Year,Mechanical,Available
Control Systems,Roger Pressman,Databases,4th Year,ECE,Not Available
